Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
05/05/2017,411,411,410.5,410.5,3.75,+0.92%,297855,1325962
05/04/2017,409.75,409.75,406.75,406.75,-7,-1.69%,339585,1336738
05/03/2017,413.75,413.75,413.75,413.75,1.75,+0.42%,264218,1318330
05/02/2017,414.25,415,412,412,-2.75,-0.66%,349484,1326162
05/01/2017,410,414.75,409.75,414.75,7.5,+1.84%,517837,1322898
04/28/2017,405,407.25,405,407.25,-0.5,-0.12%,353109,1336118
04/27/2017,407.75,407.75,407.75,407.75,2.25,+0.55%,483400,1340113
04/26/2017,410,410,405,405.5,-4.75,-1.16%,593730,1394665
04/25/2017,410.25,412,410,410.25,3.75,+0.92%,670472,1431459
04/24/2017,406.5,406.5,406.5,406.5,2.5,+0.62%,479056,1457980
04/21/2017,402,404,402,404,0.25,+0.06%,518069,1458467
04/20/2017,405.25,405.25,403.75,403.75,-2.75,-0.68%,441595,1479799
04/19/2017,406.5,406.5,406.5,406.5,0.25,+0.06%,498861,1458663
04/18/2017,406.25,406.25,406.25,406.25,-2.75,-0.67%,481975,1475977
04/17/2017,409,409,409,409,-3.75,-0.91%,290949,1463803
04/13/2017,412.25,412.75,412.25,412.75,0.75,+0.18%,588191,1469646
04/12/2017,412,412.25,411,412,0,0.00%,531737,1450941
04/11/2017,411.5,412.25,410.25,412,-1.5,-0.36%,565440,1457532
04/10/2017,412,413.5,412,413.5,4.25,+1.04%,463244,1449725
04/07/2017,409.25,409.25,409.25,409.25,1,+0.24%,497419,1457735
04/06/2017,408.25,408.25,408.25,408.25,-1.25,-0.31%,295002,1464998
04/05/2017,409.5,409.5,409.5,409.5,1.75,+0.43%,278534,1459194
04/04/2017,406.25,407.75,405.25,407.75,-3.25,-0.79%,298496,1455465
04/03/2017,410,412,410,411,1.5,+0.37%,421796,1459629
03/31/2017,408.5,410,408.5,409.5,7.25,+1.80%,575354,1464974
03/30/2017,402,402.25,402,402.25,-1.25,-0.31%,198625,1441141
03/29/2017,402.25,403.5,400.25,403.5,-0.75,-0.19%,240680,1445843
03/28/2017,404.25,404.25,404.25,404.25,1.25,+0.31%,212773,1433425
03/27/2017,402.5,403,402,403,1.25,+0.31%,268915,1423682
03/24/2017,401.75,401.75,401.75,401.75,-0.5,-0.12%,188280,1424254
03/23/2017,402.25,402.25,402.25,402.25,-0.5,-0.12%,231545,1444893
03/22/2017,403,403,402.75,402.75,-0.75,-0.19%,254883,1435675
03/21/2017,404.5,404.5,403.5,403.5,-1.75,-0.43%,278211,1417628
03/20/2017,405,405.25,405,405.25,-1.75,-0.43%,254912,1414462
03/17/2017,407,407,407,407,1,+0.25%,164701,1409002
03/16/2017,406,406,406,406,0.75,+0.19%,185020,1398064
03/15/2017,405.25,405.25,405.25,405.25,0.25,+0.06%,174321,1385196
03/14/2017,404,407,404,405,0.75,+0.19%,367830,1376220
03/13/2017,404,404.25,404,404.25,-1.25,-0.31%,241018,1370184
03/10/2017,405.5,405.5,405.5,405.5,0,0.00%,304890,1379719
03/09/2017,406,406,405,405.5,-1,-0.25%,356220,1375322
03/08/2017,406.5,406.5,406.5,406.5,0,0.00%,221793,1376635
03/07/2017,410,411.5,406.5,406.5,-2.5,-0.61%,271396,1373407
03/06/2017,410,410,409,409,0,0.00%,247402,1381224
03/03/2017,409.5,409.5,409,409,-0.25,-0.06%,214662,1380320
03/02/2017,408,409.25,408,409.25,-1.75,-0.43%,249039,1372359
03/01/2017,411,411,411,411,2.25,+0.55%,298767,1364339
